"ilitotal","age_0_4","age_5_24","age_25_64","age_65","age_25_49","age_50_64"
69835.33505318,13724.9872481417,24421.1787978342,24411.2098357577,6971.18097721204,Inf,Inf
76176.3481995896,16395.753747788,24787.59128991,26514.074432011,8158.07823168706,Inf,Inf
94738.9232718864,16676.7532550272,29766.5054968634,37843.2072288793,11010.082674273,Inf,Inf
123542.797416391,19807.6468548369,48470.4053787484,42136.2333251113,12344.7517237956,Inf,Inf
192070.704603282,28789.7569844602,80726.5676593906,60951.5978558739,16374.8180536437,Inf,Inf
240216.946834572,40553.1961178075,85345.5018252829,79435.8188490756,26214.9545284494,Inf,Inf
190800.855322114,33506.1729605179,47019.8184536409,75293.5004381226,29005.7128071128,Inf,Inf
146102.23794725,21659.5084125778,37266.6878123374,64179.4611872264,23395.1749382577,Inf,Inf
107951.758534045,18534.4160635272,34125.5066921878,42658.6340105094,15759.5550130797,Inf,Inf
102015.936547733,18711.0930975398,35932.9752074556,37414.1484250848,12454.0146884266,Inf,Inf
92918.5127145657,16612.9871388668,32188.5812793787,34731.9626683749,11109.7047769518,Inf,Inf
99894.9672265577,16443.3851076311,36744.2091707716,36288.7837479309,10749.7885048155,Inf,Inf
106277.201242955,17696.5913819377,39383.4219396621,37426.7777219098,10811.4240092645,Inf,Inf
